"G.U.Pope & Co - Commentary",Transliteration,T.Kannan,"Yogi Shuddhananda Bharatiyar","G.U.Pope & Co - Poems","Ramachandra Dikshitar","Satguru Sivaya Subramuniyaswami","Various Translators",Dinamalar
"Men of worth, speaking nonsense, Will lose
greatness and esteem.","If good-natured men speak profitless words, their greatness and glory will disappear.","Reputation and respect will be lost, when an affable person speaks worthless words.","Seermai Sirappotu Neengum Payanila
Neermai Yutaiyaar Solin","Glory and grace will go away 
When savants silly nonsense say.","Gone are both fame and boasted excellence,
When men of worth speak of words devoid of sense.","Prestige and popularity flee the best of men the moment they speak inane and useless words.","If the good speak vain words their eminence and excellence will leave them.","Men of worth, speaking nonsense,
Will lose greatness and esteem."
"He is not a man but the chaff among men, who indulges in vain words.","Call him not a man who loves idle words.
Call him rather chaff among men.","Call him not a man, one who speaks vain words; he is a scum.","Payanil Sol Paaraattu Vaanai
MakanenalMakkat Padhati Yenal","Call him a human chaff who prides
Himself in weightless idle words.","Who makes display of idle words' inanity,
Call him not man, chaff of humanity!","Do not call him a man who enjoys displaying his own empty words. Rather, call him the chaff of men.","Call not him a man who parades forth his empty words. Call him the chaff of men.","Call him not a man who loves idle words.
Call him rather chaff among men."
"Let great men speak untruth; it is better they refrain from uttering useless words.","Even unpleasant words may be spoken, But
the wise should avoid idle speech.","A noble scholar may speak ungraciously, if he has to; but he must refrain from speaking vain words.","Nayanila Sollinunj Cholluka Saandror
Payanila Sollaamai Nandru","Let not men of worth vainly quack
Even if they would roughly speak.","Let those who list speak things that no delight afford,
'Tis good for men of worth to speak no idle word.","Let the wise if they will, speak things without excellence; it will be well for them not to speak useless things.","Let the wise, if they deem it necessary, speak even unpleasant words, but it is good if they always refrain from pointless speech.","Even unpleasant words may be spoken,
But the wise should avoid idle speech."
"Men of great discernment will never speak words devoid of great import.","The wise who weigh their worth Refrain
from words that have no grain of worth.","The wise, who seek to understand deeper significance of things, will not utter words with no substantial worth.","Arumpayan Aayum Arivinaar Sollaar
Perumpayan Illaadha Sol","The wise who weigh the worth refrain 
From words that have no grain and brain.","The wise who seek after rare pleasures will not speak words that have not much weight in them.","The wise, who weigh the worth of every utterance,
Speak none but words of deep significance.","Even in search of extraordinary gains, the wise will never speak trivial or ungainful words.","The wise who weigh their worth
Refrain from words that have no grain of worth."
"The clear-eyed and spotless never even forgetfully
Say things that are meaningless.","The clear-eyed and spotless never even
forgetfully Say things that are meaningless.","Those wise men who are without faults and are freed from ignorance will not even forgetfully speak things that profit not.","Those who are flawlessly wise, and have overcome all delusion, will desist from speaking worthless words, even unconsciously.","Poruldheerndha Pochchaandhunj Chollaar
Maruldheerndha
Maasaru Kaatchi Yavar","The wise of spotless self vision
Slip not to silly words mention.","The men of vision pure, from wildering folly free,
Not e'en in thoughtless hour, speak words of vanity.","The wise, faultless and free from ignorance, never utter pointless words, even forgetfully.","Men of unclouded wisdom never utter nonsense even in a forgetful mood."
"Should you speak, speak useful words.
Never indulge in vain speech.","Speak what is useful, and speak not useless words.","Should you speak, speak useful words.
Never indulge in vain speech.","Speak, such that what you speak is worthy; speak not if what you speak is not worthy.","Solluka Sollir Payanutaiya Sollarka
Sollir Payanilaach Chol","To purpose speak the fruitful word 
And never indulge in useless load.","If speak you will, speak words that fruit afford;
If speak you will, speak never fruitless word.","In your speaking, say only that which is purposeful. Never utter words that lack purpose.","Speak profitable words; avoid nonsense."
"The sinful will not dread; the great will dread
The wanton pride of sinful action.","Those who have experience of evil deeds will not fear, but the excellent will fear the pride of sin.","The sinful will not dread; the great will
dread The wanton pride of sinful action.","Sinners do not dread, while great men dread the delusion of evil deeds.","Theevinaiyaar Anjaar Vizhumiyaar
Anjuvar
Theevinai Ennum Serukku","Sinners fear not the pride of sin.
The worthy dread the ill within.","With sinful act men cease to feel the dread of ill within,
The excellent will dread the wanton pride of cherished sin.","Men hardened in sins do not fear evil; but the good dread it.","Wicked men do not fear, but worthy men dread, the arrogance of sinful deeds."
"Evil begets evil and hence
Fear evil more than fire.","Because evil produces evil, therefore should evil be feared more than fire.","Evil begets evil and hence Fear evil more
than fire.","Vile deeds yield vile results; and hence, vile deeds are more fearsome than fire.","Theeyavai Theeya Payaththalaal
Theeyavai
Theeyinum Anjap Patum","Since evil begets evil dire 
Fear ye evil more than fire.","Evil is to be dreaded more than fire; for it lands one in disaster.","Since evils new from evils ever grow,
Evil than fire works out more dreaded woe.","From evil springs forth more evil. Hence evil is to be feared even more than fire."
"To commit no wrong, even against one’s enemies, is said to be supreme wisdom.","To do no evil to enemies will be called the chief of all virtues.","The height of wisdom, it is said,
Is not to return ill even to foes.","The height of wisdom, it is said, Is not
to return ill even to foes.","Not to return evil to those who do evil unto you, is, they say, the crown of wisdom.","The foremost among all wise deeds, is to refrain from doing harmful deeds even to those who detest you.","Arivinul Ellaan Thalaiyenpa Theeya
Seruvaarkkum Seyyaa Vital","The wisest of the wise are those
Who injure not even their foes.","Even to those that hate make no return of ill;
So shalt thou wisdom's highest law. 'Tis said, fulfil."
"Only the forgetful plot another’s ruin; others remember that virtue itself devises every plotter’s downfall.","Even though forgetfulness meditate not the ruin of another. Virtue will meditate the ruin of him who thus meditates.","Plot not thy neighbour's fall, even forgetfully;
Else, justice will plot the plotter's fall.","Let none plot evil to others even in forgetfulness. If he does so, the God of Righteousness will compass his ruin.","Plot not thy neighbour's fall, even
forgetfully; Else, justice will plot the plotter's
fall.","Desire not the destruction of another, even sub-consciously; else, virtue will determine the destruction of the one who desires so.","Marandhum Piranketu Soozharka
Soozhin
Aranjoozham Soozhndhavan Ketu","His ruin virtue plots who plans 
The ruin of another man's.","Though good thy soul forget, plot not thy neighbour's fall,
Thy plans shall 'virtue's Power' by ruin to thyself forestall."
"Make not thy poverty a plea for ill;
Thy evil deeds will make thee poorer still.","Commit not evil, saying, ""I am poor"": if you do, you will become poorer still.","Do not commit wrongful deeds, claiming to be poor. Such deeds only cause one to be poorer still.","Plead not poverty for doing ill,
Whereby you will become poorer still.","Let none do wrong on account of poverty; if he does so he becomes poorer still.","Plead not poverty for doing ill, Whereby
you will become poorer still.","Don’t commit anything evil in the name of poverty; the poorer, it will render you.","Ilan Endru Theeyavai Seyyarka
SeyyinIlanaakum Matrum Peyarththu","Who makes poverty plea for ill 
Shall reduce himself poorer still."
"Let him not do evil to others who desires not that sorrows should pursue him.","What ranks as evil spare to do, if thou would'st shun
Affliction sore through ill to thee by others done.","Let one who hopes for freedom from afflictions’ pain avoid inflicting harm on others.","Let him, who seeks to be free from suffering,
Not be a cause of suffering to others.","Let not one do evil unto others, if one wants to be free from affliction.","Let him, who seeks to be free from
suffering, Not be a cause of suffering to others.","If one wishes not to be tormented by painful reactions, do not harm others.","Theeppaala Thaanpirarkan Seyyarka
Noippaala
Thannai Atalventaa Thaan","From wounding others let him refrain 
Who would from harm himself remain."
"Men may escape other foes and live
But sin its deadly blow will give.","From every enmity incurred there is to 'scape, a way;
The wrath of evil deeds will dog men's steps, and slay.","One can escape from hate filled enemies, but his own hateful acts will pursue and destroy him.","You may escape your enemies but your evil follows you and hunts you down relentlessly.","Escape from other enemies is likely,
But not from the relentless pursuit of evil deeds.","Escape from other enemies is likely, But
not from the relentless pursuit of evil deeds.","However great be the enmity men have incurred they may still live. The enmity of sin will incessantly pursue and kill.","There is scope for surviving any sort of enmity; but there can be no respite from the repercussions of an evil deed.","Enaippakai Yutraarum Uyvar
Vinaippakai
Veeyaadhu Pinsendru Atum"
"The shadow stays rooted to the foot; the evil that men do will remain to torment them.","Theeyavai Seydhaar Ketudhal
Nizhaldhannai
Veeyaadhu Atiurain Thatru","Ruin follows who evil do 
As shadow follows as they go.","Man's shadow dogs his steps wher'er he wends;
Destruction thus on sinful deeds attends.","As a man’s shadow follows his footsteps wherever he goes, even so will destruction pursue those who commit sinful deeds.","Evil dogs you close on your heels like a shadow.","The consequences of evil deeds leave not
Like the persistent shadow under the feet.","Destruction will dwell at the heels of those who commit evil even as their shadow that leaves them not.","The consequences of evil deeds leave not
Like the persistent shadow under the feet."
"If one loves himself, he shouldn’t do an evil act, howsoever small it is.","Thannaiththaan Kaadhala Naayin
Enaiththondrum
Thunnarka Theevinaip Paal","Let none who loves himself at all 
Think of evil however small.","Beware, if to thyself thyself is dear,
Lest thou to aught that ranks as ill draw near!","If one really loves oneself let one not do any harm to others.","If a man feels any fond affection for himself, let him not indulge in immoral deeds, however trifling.","If you love yourself,
Refrain from causing ill of any degree.","If a man love himself, let him not commit any sin however small.","If you love yourself, Refrain from causing
ill of any degree."
"Know that no harm shall ever befall the
one Who never strays into evil.","Know a man to be free of torment, if he doesn’t take a shortcut to do an evil deed.","Arungetan Enpadhu Arika Marungotith
Theevinai Seyyaan Enin","He is secure, know ye, from ills 
Who slips not right path to do evils.","Hardly doth sorrow befall one who does not deviate from right.","The man, to devious way of sin that never turned aside,
From ruin rests secure, whatever ills betide.","If men neither deviate from right nor act wrongly, they will be defended against destruction.","Know that no harm shall ever befall the one
Who never strays into evil.","Know ye that he is freed from destruction who commits no evil, going to neither side of the right path."
"Duty is not for reward. Does the world
recompense the rain-cloud?","Do not expect any return for the services (duty) done. What does the world give in exchange for the clouds that pour rain?","Doing one’s duty without desiring any favours, is like rain; what can the world do in return for the rains.","Kaimmaaru Ventaa Katappaatu
Maarimaattu
EnAatrung Kollo Ulaku","Duty demands nothing in turn;
How can the world recompense rain?","Duty demands no recompense; to clouds of heaven,
By men on earth, what answering gift is given?","The benevolent expect no return for their dutiful giving. How can the world ever repay the rain cloud?","Benevolence seeks not a return. What does the world give back to the clouds ?","Duty is not for reward.
Does the world recompense the rain-cloud?"
"All the wealth one earns is for rendering help to the deserving.","All the wealth earned by toils Is meant to
serve those who deserve.","The purpose of one’s hard-earned money is to be deployed to help the deserving.","Thaalaatrith Thandha Porulellaam
Thakkaarkku
Velaanmai Seydhar Poruttu","All the wealth that toils give
Is meant to serve those who deserve.","The worthy say, when wealth rewards their toil spent hours,
For uses of beneficence alone 'tis ours.","It is to meet the needs of the deserving that the worthy work so hard to acquire wealth.","All the wealth acquired with perseverance by the worthy is for the exercise of benevolence.","All the wealth earned by toils
Is meant to serve those who deserve."
"Is there anything greater than decorum either here or in the world to come?","Rare it is to find another good equal to
benevolence, Either here or in the heaven.","In this world and the other, it is tough to attain anything better than beneficence.","Puththe Lulakaththum Eentum
Peralaridhe
Oppuravin Nalla Pira","In heav'n and earth 'tis hard to find 
A greater good than being kind.","To 'due beneficence' no equal good we know,
Amid the happy gods, or in this world below.","It is difficult to obtain another good equal to benevolence either in this world or in that of the gods.","Of all duties, none is better than benevolence, whether in this world or that of the Gods.","Rare it is to find another good equal to benevolence,
Either here or in the heaven."
"Verily he is alive who is in harmony with the world; others should be ranked with the dead.","He who realizes what is oneness, lives;
The rest will be placed among the dead.","One who is aligned to the right ways of the world, lives amongst the alive; the others are placed amongst the dead.","Oththa Tharavon Uyirvaazhvaan
Matraiyaan
Seththaarul Vaikkap Patum","He lives who knows befitting act 
Others are deemed as dead in fact.","He truly lives who knows (and discharges) the proper duties (of benevolence). He who knows the m not will be reckoned among the dead.","Who knows what's human life's befitting grace,
He lives; the rest 'mongst dead men have their place.","He who understands the duty of giving truly lives. All others shall be counted among the dead.","He who realizes what is oneness, lives;
The rest will be placed among the dead."
"The wealth of a wise philanthropist
Is a village pool ever full.","The wealth of a wise philanthropist Is a
village pool ever full.","The wealth of that man of eminent knowledge who desires to exercise the benevolence approved of by the world, is like the full waters of a city-tank.","The wealth of the wise one who loves, and is loved by, the world, is like a public pond brimming with water.","Ooruni Neernirain Thatre Ulakavaam
Perari Vaalan Thiru","The wealth that wise and kind do make 
Is like water that fills a lake.","The wealth of men who love the 'fitting way,' the truly wise,
Is as when water fills the lake that village needs supplies.","The wealth of a community loving wise man may be likened to a well filled village water tank.","The wealth of the wise is a never-failing spring."
"When wealth comes to the generous,
It is like the village tree coming to fruit.","The wealth of a man (possessed of the virtue) of benevolence is like the ripening of a fruitful tree in the midst of a town.","When wealth comes to the generous, It is
like the village tree coming to fruit.","Riches falling upon the benevolent, resemble a ripe tree laden with fruits, in the middle of a village.","Payanmaram Ulloorp Pazhuththatraal
Selvam
Nayanutai Yaankan Patin","Who plenty gets and plenty gives 
Is like town tree teeming with fruits.","A tree that fruits in th' hamlet's central mart,
Is wealth that falls to men of liberal heart.","Riches retained by the big hearted resemble fruits ripening on a tree in the heart of a village.","The wealth of the truly liberal is like a tree ripening in the heart of a village."
"When wealth comes to the large-hearted,
It is like an unfailing medicine tree.","If wealth be in the possession of a man who has the great excellence (of benevolence), it is like a tree which as a medicine is an infallible cure for disease.","When wealth comes to the large-hearted, It
is like an unfailing medicine tree.","Riches falling upon a person of great qualities, resemble an unfailing herbal tree that is a source of medicines.","Marundhaakith Thappaa Maraththatraal
Selvam
Perundhakai Yaankan Patin","The wealth of a wide hearted soul 
Is a herbal tree that healeth all.","Unfailing tree that healing balm distils from every part,
Is ample wealth that falls to him to large and noble heart.","The wealth of the generous is like a healing medicinal tree.","In the hands of a generous man, wealth is like a medicinal tree whose healing gifts help all."
"Those known for their duty will not slacken to help
Even during times of poverty.","The wise who know what is duty will not scant their benevolence even when they are without wealth.","Those known for their duty will not
slacken to help Even during times of poverty.","Even in times of distress, those who dont shy away from beneficence, have clear vision of their moral responsibilities.","Itanil Paruvaththum Oppuravirku
Olkaar
Katanari Kaatchi Yavar","Though seers may fall on evil days 
Their sense of duty never strays.","Even in poverty the truly discerning never ceases to be liberal.","E'en when resources fail, they weary not of 'kindness due,'
They to whom duty's self appears in vision true.","Those who know duty deeply never neglect giving, even in their own unprosperous season."
"The benevolent man considers himself poor only when he is unable to render his accustomed duty to humanity.","The poverty of a benevolent man, is nothing but his inability to exercise the same.","The poverty of a generous man is nothing but
His inability to exercise his generosity.","The poverty of a generous man is nothing
but His inability to exercise his generosity.","The poverty of the liberal of heart is his failure in the offices of tenderness.","A benevolent person turns poor when he laments his inability to do the good deeds he is used to doing.","Nayanutaiyaan Nalkoorndhaa Naadhal
Seyumneera
Seyyaadhu Amaikalaa Vaaru","The good man's poverty and grief
Is want of means to give relief.","The kindly hearted man is poor in this alone,
When power of doing deeds of goodness he finds none."
"Were it said that loss of wealth is the price of generosity, such loss would be worth selling one’s self to acquire.","If it be said that loss will result from benevolence, such loss is worth being procured even by the sale of one's self.","If poverty comes of doing good,
One's self may be sold to do it.","The poverty that results from a just course of action is worth purchasing by going into the very bond of slavery.","If poverty comes of doing good, One's self
may be sold to do it.","What harm can come out of beneficence? Such harm deserves to be bought even by selling oneself.","Oppuravi Naalvarum Ketenin
Aqdhoruvan
Vitrukkol Thakka Thutaiththu","By good if ruin comes across
Sell yourself to save that loss.","Though by 'beneficence' the loss of all should come,
'Twere meet man sold himself, and bought it with the sum."
"call that a gift to needy men thou dost dispense,
All else is void of good, seeking for recompense.","To give to the destitute is true charity. All other gifts have the nature of (what is done for) a measured return.","Giving to the poor is true charity. All other giving expects some return.","To give to the needy alone is charity;
All the rest is investment for a return.","Gift to the poor alone is true charity. Everything else is of the nature of a barter.","To give to the needy alone is charity; All
the rest is investment for a return.","Giving to the poor is charity; all else have the quality of anticipating a return.","Variyaarkkondru Eevadhe Eekaimar
Rellaam
Kuriyedhirppai Neera Thutaiththu","To give the poor is charity 
The rest is loan and vanity."
"To beg is evil, even though it were said that it is a good path (to heaven). To give is good, even though it were said that those who do so cannot obtain heaven.","Though men declare it heavenward path, yet to receive is ill;
Though upper heaven were not, to give is virtue still.","Though some may declare it a good path, garnering gifts is bad. Even if they say it denies one Heaven, giving gifts is good.","To receive is bad, even for good cause;
And to give is good even if there is no heaven.","Receiving gifts is bad though one is assured of heaven. Bestowing gifts is good, though thereby one should be bereft of it.","To receive is bad, even for good cause;
And to give is good even if there is no heaven.","To receive is a vice, even if it is accepted as a good virtue; to give, is good, even if the heaven is denied.","Nallaaru Eninum Kolaldheedhu
Melulakam
Illeninum Eedhale Nandru","To beg is bad e'en from the good 
To give is good, were heaven forbid."
"No pleading, ""I am nothing worth,"" 
But giving marks a noble birth.","I' ve nought' is ne'er the high born man's reply;
He gives to those who raise themselves that cry.","Men of good birth graciously give, never uttering the wretched excuse, “I have nothing.”","The innately noble never beg but give ere charity begins.","The mark of the well-born is to give
Without uttering the wretched excuse, I have nothing.","The mark of the well-born is to give
Without uttering the wretched excuse, 'I have
nothing.'","(Even in a low state) not to adopt the mean expedient of saying ""I have nothing,"" but to give, is the characteristic of the mad of noble birth.","Charity, without mention of the distress of poverty, is present only in those from a good family.","Ilanennum Evvam Uraiyaamai Eedhal
Kulanutaiyaan Kanne Yula"
"To be asked to give is bitter too, until seeing the smiling face of the recipient.","Innaadhu Irakkap Patudhal Irandhavar
Inmukang Kaanum Alavu","The cry for alms is painful sight
Until the giver sees him bright.","The suppliants'cry for aid yeilds scant delight,
Until you see his face with grateful gladness bright.","How unpleasant a beggar’s pleading can become, until one sees his face so sweetly pleased.","Even to be begged is miserable for we feel wretched till the beggar’s face is lit with joy.","To be begged is agonizing, till you give
And see the smiling face of the beggar.","To see men begging from us in disagreeable, until we see their pleasant countenance.","To be begged is agonizing, till you give
And see the smiling face of the beggar."
"The strength of the strongest is to endure hunger; it trails the ability to eradicate that hunger.","Aatruvaar Aatral Pasiaatral
Appasiyai
Maatruvaar Aatralin Pin","Higher's power which hunger cures
Than that of penance which endures.","Mid devotees they're great who hunger's pangs sustain,
Who hunger's pangs relieve a higher merit gain.","Endurance of one’s hunger is the test of one’s penance. Far greater than that endurance is the spirit of appeasing the hunger of others.","Great, indeed, is the power to endure hunger. Greater still is the power to relieve others’ hunger.","Strong is the strength of enduring hunger,
But stronger still is the strength of relieving it.","The power of those who perform penance is the power of enduring hunger. It is inferior to the power of those who remove the hunger (of others).","Strong is the strength of enduring hunger,
But stronger still is the strength of relieving it."
"Wiping out the hunger of the have-nots, Is
the treasury the haves have deposited their wealth.","To douse the destructive hunger of the destitute, is the safe to store the riches of the rich.","Atraar Azhipasi Theerththal
Aqdhoruvan
Petraan Porulvaip Puzhi","Drive from the poor their gnawing pains
If room you seek to store your gains.","Let the rich appease the devouring hunger of the indigent poor. It is a charity rendered unto themselves.","Let men relieve the wasting hunger man endure;
For treasure gained thus finds he treasure house secure.","Relieving the ravaging hunger of the poor is a right use for wealth men have obtained.","Wiping out the hunger of the have-nots,
Is the treasury the haves have deposited their wealth.","The removal of the killing hunger of the poor is the place for one to lay up his wealth."
"That dreaded disease called hunger touches
not the one Who shares his food by habit.","The pest of hunger never touches one who shares one’s food with the poor.","Hunger, the deadly disease, never touches one who is accustomed to share his food with others.","Paaththoon Mareei Yavanaip
Pasiyennum
Theeppini Theental Aridhu","Who shares his food with those who need
Hunger shall not harm his creed.","Whose soul delights with hungry men to share his meal,
The hand of hunger's sickness sore shall never feel.","The fiery scourge called hunger never touches the man who shares his daily meal with others.","The fiery disease of hunger shall never touch him who habitually distributes his food to others.","That dreaded disease called hunger touches not the one
Who shares his food by habit."
"The callous rich hide their barren metal; perhaps they know not the joy of giving.","Unaware of the joys of giving, The
hard-hearted waste their wealth hoarding it.","Do they not know to enjoy the joy of giving, those loveless people, who keep their wealth only to lose it.","Eeththuvakkum Inpam Ariyaarkol
Thaamutaimai
Vaiththizhakkum Vanka Navar","The joy of give and take they lose 
Hard hearted rich whose hoarding fails.","Delight of glad'ning human hearts with gifts do they not know,
Men of unpitying eye, who hoard their wealth, and lose it so?","Is it because they are unaware of the joys of giving that hard hearted men waste their wealth by hoarding it?","Do the hard-eyed who lay up and lose their possessions not know the happiness which springs from the pleasure of giving ?","Unaware of the joys of giving,
The hard-hearted waste their wealth hoarding it."
"More squalid than begging is a life of self-indulgence.","To eat alone what one has hoarded Is worse
than begging.","Eating alone to increase one’s accumulated wealth, is more distressing than begging.","Iraththalin Innaadhu Mandra
Nirappiya
Thaame Thamiyar Unal","Worse than begging is that boarding
Alone what one's greed is hoarding.","They keep their garners full, for self alone the board they spread; 
'Tis greater pain, be sure, than begging daily bread!","Solitary and unshared eating for the sake of filling up one's own riches is certainly much more unpleasant than begging.","More bitter than even a beggar’s bread is the meal of the miser who hoards wealth and eats alone.","To eat alone what one has hoarded
Is worse than begging."
"Death indeed is the greatest calamity; worse than death is one’s failure in charity.","Nothing is worse than death; but even
death is sweet If one can't help the poor.","There is nothing more harrowing than death; that too seems sweet, if one is unable to give a thing to the needy.","Saadhalin Innaadha Thillai
Inidhadhooum
Eedhal Iyaiyaak Katai","Nothing is more painful than death
Yet more is pain of giftless dearth.","Nothing is more unpleasant than death: yet even that is pleasant where charity cannot be exercised.","Tis bitter pain to die. 'Tis worse to live,
For him who nothing find to give!","There is nothing more bitter than death; yet even death seems sweet when giving is impossible.","Nothing is worse than death; but even death is sweet
If one can't help the poor."
"No greater income in life than to live with fame
That comes out of charity.","No greater income in life than to live
with fame That comes out of charity.","Give to the poor and live with praise. There is no greater profit to man than that.","Give, and live with fame; there is no other gain for lives.","Eedhal Isaipata Vaazhdhal
Adhuvalladhu
Oodhiyam Illai Uyirkku","They gather fame who freely give 
The greatest gain for all that live.","See that thy life the praise of generous gifts obtain;
Save this for living man exists no real gain.","Give to the poor and become praiseworthy. Life offers no greater reward than this.","Give and make a name. There is no greater gain to man than such a renown."
"The fame of men who give to those in need
Will live for ever in the words of all.","Whatsoever is spoken in the world will abide as praise upon that man who gives alms to the poor.","The fame of men who give to those in need
Will live for ever in the words of all.","All that chroniclers chronicle, is the renown that rests on those who give to the needy.","Uraippaar Uraippavai Ellaam
Irappaarkkondru
Eevaarmel Nirkum Pukazh","The glory of the alms giver 
Is praised aloud as popular.","The speech of all that speak agrees to crown
The men that give to those that ask, with fair renown.","Those who expound will always praise people who bestow alms on the imploring poor.","The one undying theme of praise is the praise of charity."
"Nothing imperishable lasts long in this world
Than glorious fame beyond compare.","There is nothing that stands forth in the world imperishable, except fame, exalted in solitary greatness.","Nothing imperishable lasts long in this
world Than glorious fame beyond compare.","Nothing other than incomparable fame, lasts forever in this world.","Ondraa Ulakaththu Uyarndha
Pukazhallaal
Pondraadhu Nirpadhon Ril","Nothing else lasts on earth for e'er
Saving high fame of the giver!","Save praise alone that soars on high,
Nought lives on earth that shall not die.","Nothing lasts save one’s fearless renown.","Nothing on Earth is imperishable, except exalted glory, which endures forever."
"Even celestials will cease praising saints
When you gain world-wide lasting fame.","If one has acquired extensive fame within the limits of this earth, the world of the Gods will no longer praise those sages who have attained that world.","Even celestials will cease praising saints
When you gain world-wide lasting fame.","The world of devas, will cease to praise pure scholars, if one, through his deeds across this world, earns everlasting fame.","Nilavarai Neelpukazh Aatrin
Pulavaraip
Potraadhu Puththel Ulaku","From hailing gods heavens will cease
To hail the men of lasting praise","The wise are not favoured of the gods; but the' renowned on earth are adored by them.","If men do virtuous deeds by world wide ample glory crowned,
The heavens will cease to laud the sage for other gifts renowned.","So great is glory gained by men in this world that celestials cease praising ascended sages."
"Loss that is gain and death that is life of immortal glory are attained only by the wise.","Prosperity to the body of fame, resulting in poverty to the body of flesh and the stability to the former arising from the death of the latter, are achievable only by the wise.","None other than the wise can have
Some gain in loss and fame in death.","None other than the wise can have Some
gain in loss and fame in death.","Out of death and ruin the wise fashion things enduring.","Growth (of fame) amidst adverstiy and survival (of name) after death, are possible only for the smartest.","Naththampol Ketum Uladhaakum
Saakkaatum
Viththakark Kallaal Aridhu","Fame in fall and life in death 
Are rare but for the soulful worth.","Loss that is gain, and death of life's true bliss fulfilled,
Are fruits which only wisdom rare can yeild."
"If you must be born, be born for glory. Those born without it would be better off without birth.","If you are born (in this world), be born with qualities conductive to fame. From those who are destitute of them it will be better not to be born.","Be born, if you must, for fame;
Or else better not to be born at all.","Let man be born to achieve renown. Let not the unrenowned see the light of day.","Be born, if you must, for fame; Or else
better not to be born at all.","Appear with fame, if you must appear; if not, it is better not to appear than appear.","Thondrin Pukazhotu Thondruka
Aqdhilaar
Thondralin Thondraamai Nandru","Be born with fame if birth you want 
If not of birth you must not vaunt.","If man you walk the stage, appear adorned with glory's grace;
Save glorious you can shine, 'twere better hide your face."
"If you your days will spend devoid of goodly fame,
When men despise, why blame them? You ' ve yourself to blame.","Why do those who cannot live with praise, grieve those who despise them, instead of grieving themselves for their own inability.","Why do those whose life is devoid of renown blame enemies who hate them, when they have themselves to blame?","Why blame those who blame the shame of those
Who cannot live in fame?","Let the inglorious blame themselves. Let them not reproach others.","Why blame those who blame the shame of
those Who cannot live in fame?","Why do those, who live with no fame, instead of blaming themselves, blame those who revile them.","Pukazhpata Vaazhaadhaar Thannovaar
Thammai
Ikazhvaarai Novadhu Evan?","Why grieve at those who blame the shame 
Of those who cannot live in fame?"
"Not to beget fame will be esteemed a disgrace by the wise in this world.","Fame is virtue's child, they say; if, then,
You childless live, you live the scorn of men.","Barren are they and deemed a disgrace by all men on Earth who fail to beget the offspring called fame.","The whole world will blame, they say,
If you fail to earn that renown called fame.","World’s reproach befalls one who does not achieve lasting fame.","The whole world will blame, they say, If
you fail to earn that renown called fame.","Reproach will remain for those who, with no fame, have no legacy to leave behind.","Vasaiyenpa Vaiyaththaark Kellaam
Isaiyennum
Echcham Peraaa Vitin","To men on earth it is a shame
Not to beget the child of fame."
"The land will shrink in yield if men 
O'erburden it without renown.","The blameless fruits of fields 'increase will dwindle down,
If earth the burthen bear of men without renown.","Even flawlessly fruitful lands will lessen their yields when forced to support the body of one who lacks illustriousness.","In a land which bears the burden of the unrenowned even nature’s bounty is on the wane.","The land that bears inglorious bodies
Will shrink in its glory of yield.","The land that bears inglorious bodies Will
shrink in its glory of yield.","The ground which supports a body without fame will diminish in its rich produce.","The unblemished, fertile yield will diminish for the land that bears a body with no repute.","Vasaiyilaa Vanpayan Kundrum
Isaiyilaa
Yaakkai Poruththa Nilam"
"Those who lead a life free of blame, are alive; those who live devoid of fame, are not alive.","Vasaiyozhiya Vaazhvaare Vaazhvaar
Isaiyozhiya
Vaazhvaare Vaazhaa Thavar","They live who live without blemish 
The blameful ones do not flourish.","Who live without reproach, them living men we deem;
Who live without renown, live not, though living men they seem.","Those who live without reproach truly live. Those who live without renown don’t live at all.","The unblemished truly live; the unrenowned merely exist.","Life without blame alone blooms.
The one without fame fades.","Those live who live without disgrace. Those who live without fame live not.","Life without blame alone blooms. The one
without fame fades."
"The gains of compassion are most precious; material wealth is possessed even by the despicable.","Arutchelvam Selvaththul Selvam
Porutchelvam
Pooriyaar Kannum Ula","The wealth of wealth is wealth of grace
Earthly wealth e'en the basest has.","Wealth 'mid wealth is wealth 'kindliness;
Wealth of goods the vilest too posses.","The crown of wealth is one’s compassion; all other wealth is found even among meanest of men.","Among the wealthy, compassionate men claim the richest wealth, for material wealth is possessed even by contemptible men.","The wealth of wealth is the wealth of grace.
Material wealth, even the mean possess.","The wealth of kindness is wealth of wealth, in as much as the wealth of property is possessed by the basest of men.","The wealth of wealth is the wealth of
grace. Material wealth, even the mean possess."
"Obtain grace by seeking the path of
goodness. That is the aid cited in all paths.","Pursue the virtuous path and have compassion; all spiritual quests lead to this companion.","Nallaatraal Naati Arulaalka
Pallaatraal
Therinum Aqdhe Thunai","Seek by sound ways good compassion; 
All faiths mark that for salvation.","Be compassionate; for compassion is the pivot of all tenets.","The law of 'grace' fufil, by methods good due trial made,
Though many systems you explore, this is your only aid.","Find and follow the good path, ruled by compassion. Of the many ways, that one leads to liberation.","Obtain grace by seeking the path of goodness.
That is the aid cited in all paths.","(Stand) in the good path, consider, and be kind. Even considering according to the conflicting tenets of the different sects, kindness will be your best aid, (in the acquisition of heavenly bliss.)"
